XAUUSD Historical Data
Date,Open,High,Low,Close,Change(Pips),Change(%)
10/30/2025 09:30,4004.4,4005.61,4001.39,4001.9,-250,-0.06,
10/30/2025 09:25,4000.97,4004.87,3999.86,4004.49,352,0.09,
10/30/2025 09:20,4004.44,4008.37,4000.3,4001.06,-338,-0.08,
10/30/2025 09:15,4004.96,4011.67,4002.56,4004.34,-62,-0.02,
10/30/2025 09:10,3994.83,4006.77,3994.83,4005.01,1018,0.25,
10/30/2025 09:05,3989.3,3997.88,3989.05,3994.82,552,0.14,
10/30/2025 09:00,3976.5,3990.14,3976.27,3989.25,1275,0.32,
10/30/2025 08:55,3973.3,3976.74,3972.3,3976.74,344,0.09,
10/30/2025 08:50,3971.52,3974.89,3971.52,3973.27,175,0.04,
10/30/2025 08:45,3973.87,3974.37,3971.47,3971.64,-223,-0.06,
10/30/2025 08:40,3971.88,3974.93,3970.25,3973.87,199,0.05,
10/30/2025 08:35,3971.3,3971.93,3968.41,3971.81,51,0.01,
10/30/2025 08:30,3972.83,3973.87,3968.93,3971.59,-124,-0.03,
10/30/2025 08:25,3967.57,3974.33,3967.22,3972.53,496,0.12,
10/30/2025 08:20,3969.16,3970.02,3966.09,3968.05,-111,-0.03,
10/30/2025 08:15,3965.99,3971.99,3964.65,3969.16,317,0.08,
10/30/2025 08:10,3964.79,3969.42,3964.23,3966.03,124,0.03,
10/30/2025 08:05,3964.42,3966.31,3960.9,3964.79,37,0.01,
10/30/2025 08:00,3961.39,3967.05,3960.66,3964.3,291,0.07,
10/30/2025 07:55,3958.9,3961.51,3955.83,3961.5,260,0.07,
10/30/2025 07:50,3959.81,3960.74,3957.97,3959.02,-79,-0.02,
10/30/2025 07:45,3962.15,3962.15,3958.84,3959.97,-218,-0.06,
10/30/2025 07:40,3963.27,3965.99,3960.7,3961.91,-136,-0.03,
10/30/2025 07:35,3961.64,3965.47,3958.9,3963.53,189,0.05,
10/30/2025 07:30,3968.27,3969.32,3960.84,3961.81,-646,-0.16,
10/30/2025 07:25,3968.97,3968.97,3960.38,3968.1,-87,-0.02,
10/30/2025 07:20,3969.21,3972.5,3968.59,3969.1,-11,0.00,
10/30/2025 07:15,3970.44,3972.67,3967.68,3969.55,-89,-0.02,
10/30/2025 07:10,3970.36,3975.78,3969.75,3970.29,-7,0.00,
10/30/2025 07:05,3974.79,3974.8,3969.35,3970.48,-431,-0.11,
10/30/2025 07:00,3977.07,3977.31,3971.01,3975.18,-189,-0.05,
10/30/2025 06:55,3966.3,3977.45,3965.84,3976.68,1038,0.26,
10/30/2025 06:50,3967.51,3967.8,3964.03,3966.22,-129,-0.03,
10/30/2025 06:45,3965.77,3968.34,3962.13,3967.47,170,0.04,
10/30/2025 06:40,3961.16,3965.79,3960.07,3965.79,463,0.12,
10/30/2025 06:35,3961.59,3964.27,3956.85,3961.17,-42,-0.01,
10/30/2025 06:30,3965,3968.34,3960.59,3961.77,-323,-0.08,
10/30/2025 06:25,3963.38,3967.18,3960.22,3965.25,187,0.05,
10/30/2025 06:20,3965.98,3970.7,3958.76,3963.24,-274,-0.07,
10/30/2025 06:15,3962.09,3966.73,3958.55,3966.32,423,0.11,
10/30/2025 06:10,3965,3966.14,3956.52,3962.37,-263,-0.07,
10/30/2025 06:05,3967.31,3970.06,3962.94,3965.22,-209,-0.05,
10/30/2025 06:00,3963.57,3971.03,3961.17,3967.09,352,0.09,
10/30/2025 05:55,3965.36,3965.63,3960.88,3963.53,-183,-0.05,
10/30/2025 05:50,3968.73,3973.9,3964.95,3965.51,-322,-0.08,
10/30/2025 05:45,3962.94,3971.22,3961.46,3968.74,580,0.15,
10/30/2025 05:40,3957.69,3963.68,3957.57,3962.77,508,0.13,
10/30/2025 05:35,3954.82,3959.14,3954.74,3957.58,276,0.07,
10/30/2025 05:30,3950.33,3954.95,3947.41,3954.37,404,0.10,
10/30/2025 05:25,3958.17,3958.17,3948.53,3949.21,-896,-0.23,
10/30/2025 05:20,3958.4,3964.77,3958.29,3958.43,3,0.00,
10/30/2025 05:15,3962.83,3964.72,3957.66,3958.38,-445,-0.11,
10/30/2025 05:10,3972.77,3972.96,3961.68,3962.79,-998,-0.25,
10/30/2025 05:05,3971.63,3974.04,3969.24,3972.72,109,0.03,
10/30/2025 05:00,3972.54,3978.39,3970.59,3971.68,-86,-0.02,
10/30/2025 04:55,3974.5,3975.96,3971.25,3972.56,-194,-0.05,
10/30/2025 04:50,3978.27,3981.71,3974.02,3974.46,-381,-0.10,
10/30/2025 04:45,3978.77,3981.82,3974.43,3978.45,-32,-0.01,
10/30/2025 04:40,3975.89,3980.16,3973.54,3978.98,309,0.08,
10/30/2025 04:35,3969.08,3982.47,3966.09,3975.08,600,0.15,
10/30/2025 04:30,3959.36,3970.29,3958.46,3969.19,983,0.25,
10/30/2025 04:25,3952.46,3959.41,3952.04,3959.41,695,0.18,
10/30/2025 04:20,3948.98,3953.59,3947.64,3952.45,347,0.09,
10/30/2025 04:15,3943.5,3949.79,3941.64,3949.24,574,0.15,
10/30/2025 04:10,3941.24,3943.78,3940.08,3943.44,220,0.06,
10/30/2025 04:05,3936.76,3943.51,3934.77,3941.59,483,0.12,
10/30/2025 04:00,3938,3942.19,3936.53,3936.53,-147,-0.04,
10/30/2025 03:55,3934.39,3938.15,3932.29,3937.84,345,0.09,
10/30/2025 03:50,3930.47,3936.18,3929.91,3934.12,365,0.09,
10/30/2025 03:45,3932.59,3933.92,3930.41,3930.41,-218,-0.06,
10/30/2025 03:40,3936.7,3936.95,3931.66,3932.48,-422,-0.11,
10/30/2025 03:35,3935.09,3937.67,3935.09,3936.64,155,0.04,
10/30/2025 03:30,3933.21,3937.16,3932.74,3935.1,189,0.05,
10/30/2025 03:25,3930.58,3934.88,3929.44,3932.99,241,0.06,
10/30/2025 03:20,3930.47,3931.68,3928.86,3930.57,10,0.00,
10/30/2025 03:15,3928.87,3930.51,3925.91,3930.49,162,0.04,
10/30/2025 03:10,3924.44,3929.35,3923.88,3928.86,442,0.11,
10/30/2025 03:05,3920.43,3928.29,3920.2,3924.45,402,0.10,
10/30/2025 03:00,3922.09,3922.45,3915.39,3920.44,-165,-0.04,
10/30/2025 02:55,3929,3929.32,3921.94,3922.25,-675,-0.17,
10/30/2025 02:50,3929.49,3932.54,3925.53,3928.9,-59,-0.02,
10/30/2025 02:45,3936.9,3938.44,3928.16,3929.41,-749,-0.19,
10/30/2025 02:40,3938.02,3940.58,3935.65,3936.97,-105,-0.03,
10/30/2025 02:35,3938.26,3942.06,3936.28,3938.15,-11,0.00,
10/30/2025 02:30,3934.04,3940.16,3931.03,3938.31,427,0.11,
10/30/2025 02:25,3933.88,3936.51,3932.79,3933.97,9,0.00,
10/30/2025 02:20,3936.5,3938.62,3935.25,3937.7,120,0.03,
10/30/2025 02:15,3936.44,3937.96,3933.74,3935.96,-48,-0.01,
10/30/2025 02:10,3932.22,3938.46,3926.54,3936.6,438,0.11,
10/30/2025 02:05,3937.13,3942.58,3931.98,3932.98,-415,-0.11,
10/30/2025 02:00,3947.95,3948.11,3937.25,3937.32,-1063,-0.27,
10/30/2025 01:55,3948.98,3951.04,3945.78,3947.79,-119,-0.03,
10/30/2025 01:50,3951.57,3954.04,3949.15,3949.39,-218,-0.06,
10/30/2025 01:45,3957.57,3958.27,3951.11,3951.55,-602,-0.15,
10/30/2025 01:40,3949.59,3957.77,3947.52,3957.61,802,0.20,
10/30/2025 01:35,3956.7,3959.72,3949.58,3949.58,-712,-0.18,
10/30/2025 01:30,3950.31,3956.91,3948.15,3956.34,603,0.15,
10/30/2025 01:25,3952.93,3953.02,3944.98,3950.09,-284,-0.07,
10/30/2025 01:20,3950.49,3957.2,3950.04,3952.42,193,0.05,
10/30/2025 01:15,3950.47,3951.82,3947.08,3950.24,-23,-0.01,
10/30/2025 01:10,3955.27,3955.27,3945.07,3950.45,-482,-0.12,
10/30/2025 01:05,3960.38,3966.58,3954.89,3955.15,-523,-0.13,
10/30/2025 01:00,3950.14,3962.41,3950.14,3960.65,1051,0.27,
10/30/2025 00:55,3947.08,3953.34,3947.08,3950.11,303,0.08,
10/30/2025 00:50,3944.82,3948.55,3941.74,3947.02,220,0.06,
10/30/2025 00:45,3942.2,3951.1,3938.17,3944.82,262,0.07,
10/30/2025 00:40,3950.22,3951.1,3941.64,3942.61,-761,-0.19,
10/30/2025 00:35,3956.79,3957.68,3947.86,3950.24,-655,-0.17,
10/30/2025 00:30,3959.49,3960.02,3955.85,3956.95,-254,-0.06,
10/30/2025 00:25,3959,3961.14,3955.58,3958.75,-25,-0.01,
10/30/2025 00:20,3961.32,3964.31,3958,3958.99,-233,-0.06,
10/30/2025 00:15,3956.72,3961.57,3955.1,3961.31,459,0.12,
10/30/2025 00:10,3959.69,3959.79,3954.99,3957.01,-268,-0.07,
10/30/2025 00:05,3959.42,3960.23,3956.93,3959.83,41,0.01,
10/30/2025 00:00,3952.67,3962.48,3951.97,3959.44,677,0.17,
10/29/2025 23:55,3946.88,3954,3946.83,3952.69,581,0.15,
10/29/2025 23:50,3952.15,3952.15,3946.82,3947.08,-507,-0.13,
10/29/2025 23:45,3945.04,3952.01,3941.14,3952.01,697,0.18,
10/29/2025 23:40,3949.49,3949.55,3944.26,3945.05,-444,-0.11,
10/29/2025 23:35,3950.12,3950.12,3947.45,3949.29,-83,-0.02,
10/29/2025 23:30,3950.38,3950.72,3948.16,3950.23,-15,0.00,
10/29/2025 23:25,3949.89,3951.36,3948.87,3950.21,32,0.01,
